Region Id,Region Data,Region Name,Region Abbreviation,Colour
1,18329,Barima-Waini,BA,#7570b3
2,14390,Cuyuni-Mazaruni,CU,#d95f02
3,317475,Demerara-Mahaica,DE,#e6ab02
4,152386,East Berbice-Corentyne,EB,#7570b3
5,104750,Essequibo Islands-West Demerara,ES,#e7298a
6,53898,Mahaica-Berbice,MA,#d95f02
7,42341,Pomeroon-Supenaam,PM,#1b9e77
8,4485,Potaro-Siparuni,PT,#66a61e
9,38641,Upper Demerara-Berbice,UD,#1b9e77
10,12873,Upper Takutu-Upper Essequibo,UT,#e7298a
