Region Id,Region Data,Region Name,Region Abbreviation
1,18329,Barima-Waini,BA
2,14390,Cuyuni-Mazaruni,CU
3,317475,Demerara-Mahaica,DE
4,152386,East Berbice-Corentyne,EB
5,104750,Essequibo Islands-West Demerara,ES
6,53898,Mahaica-Berbice,MA
7,42341,Pomeroon-Supenaam,PM
8,4485,Potaro-Siparuni,PT
9,38641,Upper Demerara-Berbice,UD
10,12873,Upper Takutu-Upper Essequibo,UT
